"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"Blizzard Entertainment"	"peering@blizzard.com"	"PXC-EQX-154"	"57976"	"ISP"	"80.249.208.83"	"2001:7f8:1::a505:7976:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Blue Jeans Network Inc."	"peering@bluejeans.com"	"PXC-EQX-154"	"56583"	"ISP"	"80.249.210.174"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"bn:t Blatzheim Networks Telecom GmbH"	"peering@blatzheim.com"	"mym6-phys-3679"	"20886"	"ISP"	"80.249.210.203"	"2001:7f8:1::a502:886:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Bolignet-Aarhus F.M.B.A"	"drift@bnaa.dk"	"PXC-TC5-159"	"33796"	"ISP"	"80.249.211.130"	"2001:7f8:1::a503:3796:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Booking.com BV"	"peering@lists.booking.com"	"PXC-GLO-135"	"43996"	"ISP"	"80.249.210.198"	"2001:7f8:1::a504:3996:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Booking.com BV"	"peering@lists.booking.com"	"PXC-GLO-135"	"202196"	"ISP"	"80.249.213.8"	"2001:7f8:1:0:a500:20:2196:1"	"no"	"no"	"no"	"Global Switch"	"LR"	"open"	"10GE"
"Bouygues Telecom"	""	"PXC-TEL-158"	"5410"	"ISP"	"80.249.212.245"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bouygues Telecom"	""	"PXC-TEL-158"	"5410"	"ISP"	"80.249.212.245"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bouygues Telecom"	""	"PXC-TEL-158"	"5410"	"ISP"	"80.249.212.245"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bouygues Telecom"	""	"PXC-TEL-158"	"5410"	"ISP"	"80.249.212.245"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bradler & Krantz GmbH & Co. KG"	"peering@as29141.net"	"PXC-EVO-143"	"29141"	"ISP"	"80.249.211.87"	"2001:7f8:1::a502:9141:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Brandwatch"	"network-admin@brandwatch.com"	"mym6-phys-2368"	"60868"	"ISP"	"80.249.212.111"	"2001:7f8:1::a506:868:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Breedband Nederland"	""	"mym6-phys-3084"	"5524"	"ISP"	"80.249.209.104"	"2001:7f8:1::a500:5524:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"3GE"
"BSO"	"eusupport@bsonetwork.com"	"EDGE-TEL-012"	"31216"	"ISP"	"80.249.209.124"	"2001:7f8:1::a503:1216:1"	"no"	"no"	"yes"	"Equinix AM7"	"SX"	"case-by-case"	"1GE"
"BT"	"peering@bt.com"	"PXC-NIK-127"	"5400"	"ISP"	"80.249.208.108"	"2001:7f8:1::a500:5400:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"closed"	"10GE"
"BT"	"peering@bt.com"	"PXC-NIK-127"	"5400"	"ISP"	"80.249.208.108"	"2001:7f8:1::a500:5400:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"closed"	"10GE"
"Bulgarian Telecommunications Company AD"	"tsf-ip-nsoc@vivacom.bg"	"PXC-TEL-158"	"8866"	"ISP"	"80.249.210.162"	"2001:7f8:1::a500:8866:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bulgarian Telecommunications Company AD"	"tsf-ip-nsoc@vivacom.bg"	"PXC-TEL-158"	"8866"	"ISP"	"80.249.210.162"	"2001:7f8:1::a500:8866:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Bulgartel EAD"	"nmc@bulgartel.bg"	"mym6-phys-3682-3333"	"44814"	"ISP"	"80.249.209.32"	"2001:7f8:1::a504:4814:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1GE"
"BusinessConnect BV"	"peering@as15693.net"	"phys-20100122-126-003"	"15693"	"ISP"	"80.249.212.252"	"2001:7f8:1::a501:5693:1"	"no"	"no"	"yes"	"NIKHEF"	""	"case-by-case"	"2FE"
"Cablenet Communication Systems Ltd"	"f.soteraki@cablenetcy.net"	"mym6-phys-3762"	"35432"	"ISP"	"80.249.210.178"	"2001:7f8:1::a503:5432:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5GE"
"CacheNetworks, LLC"	"peering@cachefly.com"	"PXC-EQX-139"	"30081"	"ISP"	"80.249.212.155"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"selective"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-SAR-134"	"15435"	"ISP"	"80.249.208.149"	"2001:7f8:1::a501:5435:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-SAR-134"	"15435"	"ISP"	"80.249.208.149"	"2001:7f8:1::a501:5435:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-SAR-134"	"15435"	"ISP"	"80.249.208.149"	"2001:7f8:1::a501:5435:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-SAR-134"	"15435"	"ISP"	"80.249.208.149"	"2001:7f8:1::a501:5435:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-TEL-152"	"15435"	"ISP"	"80.249.209.173"	"2001:7f8:1::a501:5435:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-TEL-152"	"15435"	"ISP"	"80.249.209.173"	"2001:7f8:1::a501:5435:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-TEL-152"	"15435"	"ISP"	"80.249.209.173"	"2001:7f8:1::a501:5435:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"CAIW Diensten B.V."	"peering@caiw.nl"	"PXC-TEL-152"	"15435"	"ISP"	"80.249.209.173"	"2001:7f8:1::a501:5435:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Cambrium BV"	"peering@cambrium.nl"	"PXC-SAR-134"	"25596"	"ISP"	"80.249.208.159"	"2001:7f8:1::a502:5596:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Cambrium BV"	"peering@cambrium.nl"	"PXC-NIK-133"	"25596"	"ISP"	"80.249.209.169"	"2001:7f8:1::a502:5596:2"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Campaignmonitor Pty Ltd."	"peering@campaignmonitor.com"	"phys-20101021-125-001"	"55819"	"ISP"	"80.249.212.137"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"Canadian Internet Registration Authority (CIRA)"	"peering@cira.ca"	"phys-20101021-125-001"	"55195"	"ISP"	"80.249.208.136"	"2001:7f8:1::a505:5195:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"CapitalOnline Data Service Co, LTD"	"peering@capitalonline.com"	"PXC-GLO-135"	"63199"	"ISP"	"80.249.212.218"	"2001:7f8:1::a506:3199:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Carrenza (NL)"	"peering@carrenza.com"	"EDGE-EQ3-020"	"31220"	"ISP"	"80.249.210.109"	""	"no"	"no"	"no"	"Equinix AM3"	"SX"	"case-by-case"	"1GE"
"Carrier 51 uG"	"alf@all.de"	"mym6-phys-3679"	"12732"	"ISP"	"80.249.209.137"	"2001:7f8:1::a501:2732:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"CAT Telecom Public Company Limited"	"peering@cat.net.th"	"PXC-SAR-148"	"4651"	"ISP"	"80.249.210.15"	"2001:7f8:1::a500:4651:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Caveo Internet BV"	"peering@caveo.nl"	"PXC-TEL-152"	"24642"	"ISP"	"80.249.208.248"	"2001:7f8:1::a502:4642:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"20GE"
"CBIZZ"	"peering@cbizz.nl"	"PXC-NIK-126"	"30925"	"ISP"	"80.249.209.79"	"2001:7f8:1::a503:925:1"	"no"	"no"	"yes"	"NIKHEF"	"ER"	"open"	"10GE"
"CDNetworks, Co. Ltd."	"seemin.siddiqui@cdnetworks.com"	"PXC-IXN-124"	"36408"	"ISP"	"80.249.208.191"	"2001:7f8:1::a503:6408:2"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"CDNetworks, Co. Ltd."	"seemin.siddiqui@cdnetworks.com"	"PXC-IXN-124"	"36408"	"ISP"	"80.249.208.191"	"2001:7f8:1::a503:6408:2"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"CDNetworks, Co. Ltd."	"seemin.siddiqui@cdnetworks.com"	"PXC-IXN-161"	"36408"	"ISP"	"80.249.210.106"	"2001:7f8:1::a503:6408:1"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"CDNetworks, Co. Ltd."	"seemin.siddiqui@cdnetworks.com"	"PXC-IXN-161"	"36408"	"ISP"	"80.249.210.106"	"2001:7f8:1::a503:6408:1"	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"Celeste"	"peering@celeste.fr"	"mym6-phys-3548"	"34177"	"ISP"	"80.249.210.38"	"2001:7f8:1::a503:4177:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"4GE"
"Cellcom LTD"	"peering@013netvision.co.il"	"mym6-phys-3790"	"1680"	"ISP"	"80.249.210.84"	"2001:7f8:1::a500:1680:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"case-by-case"	"20GE"
"CEMIG TELECOMUNICAÇÕES SA - CEMIGTelecom"	"engenhariaip@cemigtelecom.com"	"mym6-phys-3790"	"23106"	"ISP"	"80.249.213.51"	"2001:7f8:1::a502:3106:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"3GE"
"CentralNic Group PLC"	"ops@centralnic.com"	"mym6-phys-3406"	"60890"	"ISP"	"80.249.213.64"	"2001:7f8:1::a506:890:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"route server only"	"1FE"
"CentralNic Group PLC"	"ops@centralnic.com"	"mym6-phys-3406"	"199330"	"ISP"	"80.249.213.65"	"2001:7f8:1:0:a500:19:9330:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"route server only"	"1FE"
"CenturyLink"	"peering@centurylink.com"	"PXC-IXN-161"	"3910"	"ISP"	"80.249.212.192"	""	"no"	"no"	"no"	"InterXion"	"LR"	"case-by-case"	"10GE"
"CESNET, z.s.p.o."	"peering@cesnet.cz"	"PXC-SAR-114"	"2852"	"ISP"	"80.249.209.106"	"2001:7f8:1::a500:2852:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Chevron"	"peering@chevron.com"	"EDGE-EQ3-020"	"7862"	"ISP"	"80.249.213.42"	"2001:7f8:1::a500:7862:1"	"no"	"no"	"no"	"Equinix AM3"	"LX"	"case-by-case"	"1GE"
"CHINACACHE NORTH AMERICA, INC."	"PRE-ops-network@chinacache.com"	"PXC-EQ3-160"	"63541"	"ISP"	"80.249.212.147"	"2001:7f8:1::a506:3541:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"China Mobile International Limited"	"murinelee@cmi.chinamobile.com"	"PXC-EQX-154"	"58453"	"ISP"	"80.249.208.40"	"2001:7f8:1::a505:8453:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"selective"	"10GE"
"China Telecom (Europe) Limited"	"yangwei@chinatelecomglobal.com"	"PXC-TC5-159"	"4134"	"ISP"	"80.249.212.76"	""	"no"	"no"	"no"	"Equinix AM5"	"LR"	"selective"	"10GE"
"Choopa, LLC"	"peering@choopa.com"	"PXC-EVO-157"	"20473"	"ISP"	"80.249.212.38"	"2001:7f8:1::a502:473:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Cisco Systems Inc."	"peering@opendns.com"	"EDGE-IXN-016"	"36692"	"ISP"	"80.249.208.88"	"2001:7f8:1::a503:6692:1"	"no"	"no"	"yes"	"InterXion"	"LX"	""	"1GE"
"Cisco Systems, Inc."	"as109-peering@cisco.com"	"PXC-EQX-165"	"109"	"ISP"	"80.249.211.50"	"2001:7f8:1::a500:109:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Cisco / WebEx"	"peering@webex.com"	"PXC-EQX-139"	"13445"	"ISP"	"80.249.208.75"	"2001:7f8:1::a501:3445:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"CJ2 Hosting"	"noc@cj2.nl"	"PXC-NIK-126"	"39704"	"ISP"	"80.249.209.130"	"2001:7f8:1::a503:9704:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Claranet Benelux"	"peering@clara.net"	"PXC-SAR-134"	"8426"	"ISP"	"80.249.208.82"	"2001:7f8:1::a500:8426:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	""	"10GE"
"Claranet Benelux"	"peering@clara.net"	"PXC-DR1-168"	"8426"	"ISP"	"80.249.209.228"	"2001:7f8:1::a500:8426:1"	"no"	"no"	"yes"	"Digital Realty AMS01"	"LR"	""	"10GE"
"Cloudata"	"peering@cloudata.fr"	"mym6-phys-3747"	"199660"	"ISP"	"80.249.212.126"	"2001:7f8:1:0:a500:19:9660:1"	"no"	"no"	"yes"	"InterXion"	""	"open"	"1FE"
"Cloudflare, Inc"	"peering@cloudflare.com"	"PXC-EQX-165"	"13335"	"ISP"	"80.249.211.140"	"2001:7f8:1::a501:3335:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR4"	"open"	"100GE"
"CloudMerge B.V."	"peering@cloudmerge.com"	"PXC-TC6-164"	"202932"	"ISP"	"80.249.212.214"	"2001:7f8:1:0:a500:20:2932:1"	"no"	"no"	"yes"	"Equinix AM6"	"LR"	"open"	"10GE"
"CM."	"cmsupport@cm.nl"	"PXC-TC5-144"	"15447"	"ISP"	"80.249.210.157"	""	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"case-by-case"	"10GE"
"Code42"	"peering@code42.com"	"PXC-EVO-157"	"62715"	"ISP"	"80.249.209.113"	"2001:7f8:1::a506:2715:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"USA (corp-HQ is USA; connection will be in NL/AMS)"	"10GE"
"Colocation Australia Pty Ltd"	"peering@coloau.com.au"	"mynl-phys-5344"	"63956"	"ISP"	"80.249.213.115"	"2001:7f8:1::a506:3956:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1FE"
"ColocationIX"	"peering@colocationix.net"	"PXC-EUN-113"	"61955"	"ISP"	"80.249.211.155"	"2001:7f8:1::a506:1955:1"	"no"	"no"	"yes"	"euNetworks"	"LR"	"open"	"10GE"
"ColoCenter bv"	"peering@colocenter.nl"	"PXC-TEL-152"	"58291"	"ISP"	"80.249.212.148"	"2001:7f8:1::a505:8291:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"COLT Telecom B.V."	"peering@colt.net"	"PXC-NIK-116"	"8220"	"ISP"	"80.249.208.236"	"2001:7f8:1::a500:8220:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"COLT Telecom B.V."	"peering@colt.net"	"PXC-NIK-116"	"8220"	"ISP"	"80.249.208.236"	"2001:7f8:1::a500:8220:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"COLT Telecom B.V."	"peering@colt.net"	"PXC-GLO-149"	"8220"	"ISP"	"80.249.208.52"	"2001:7f8:1::a500:8220:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"COLT Telecom B.V."	"peering@colt.net"	"PXC-GLO-149"	"8220"	"ISP"	"80.249.208.52"	"2001:7f8:1::a500:8220:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"COMBELL"	"peering@combell.com"	"PXC-GLO-135"	"34762"	"ISP"	"80.249.210.149"	"2001:7f8:1::a503:4762:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"case-by-case"	"10GE"
"Comhem"	"peering@comhem.com"	"mym6-phys-2403-3591"	"39651"	"ISP"	"80.249.211.57"	"2001:7f8:1::a503:9651:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"40GE"
"Commercial Network Services"	"NOC@CommercialNetworkServices.com"	"mym6-phys-1755"	"29697"	"ISP"	"80.249.211.151"	"2001:7f8:1::a502:9697:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"COMPLETEL LTD"	""	"mym6-phys-4209-2962"	"44020"	"ISP"	"80.249.208.185"	"2001:7f8:1::a504:4020:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"Computel Standby BV"	"peering@nederland.net"	"EDGE-SAR-010"	"31383"	"ISP"	"80.249.209.35"	"2001:7f8:1::a503:1383:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LX"	"open"	"1GE"
"Computerline."	"noc@computerline.ch"	"PXC-EQ3-145"	"41913"	"ISP"	"80.249.211.177"	"2001:7f8:1::a504:1913:1"	"no"	"no"	"yes"	"Equinix AM3"	"ER"	"open"	"10GE"
"Comsave BV"	"noc@comsave.com"	"PXC-NIK-127"	"202120"	"ISP"	"80.249.213.80"	"2001:7f8:1:0:a500:20:2120:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Comstroy Engineering LTD"	"support@comstroy-engineering.eu"	"mym6-phys-3682-3333"	"201233"	"ISP"	"80.249.213.76"	""	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"ComX Networks"	"peering@danskkabeltv.dk"	"PXC-TEL-121"	"15516"	"ISP"	"80.249.209.87"	"2001:7f8:1::a501:5516:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"ComX Networks"	"peering@danskkabeltv.dk"	"PXC-TEL-121"	"15516"	"ISP"	"80.249.209.87"	"2001:7f8:1::a501:5516:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"PXC-TC5-151"	"12871"	"ISP"	"80.249.208.32"	"2001:7f8:1::a501:2871:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"PXC-TC5-151"	"12871"	"ISP"	"80.249.208.32"	"2001:7f8:1::a501:2871:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"PXC-NIK-126"	"12871"	"ISP"	"80.249.208.64"	"2001:7f8:1::a501:2871:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Concepts ICT Holding B.V."	"noc@concepts.nl"	"PXC-NIK-126"	"12871"	"ISP"	"80.249.208.64"	"2001:7f8:1::a501:2871:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Connectivity I.T. Pty LTD"	"peering@connectivityit.com.au"	"mym6-phys-3762"	"58511"	"ISP"	"80.249.212.104"	"2001:7f8:1::a505:8511:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"Conostix"	"peering@conostix.com"	"phys-20101021-125-001"	"197692"	"ISP"	"80.249.211.67"	"2001:7f8:1:0:a500:19:7692:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Contingency Networks Ltd"	"peering@contingencynetworks.co.uk"	"mym6-phys-2368"	"21339"	"ISP"	"80.249.211.29"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Convergenze s.p.a."	"peering@convergenze.it"	"mym6-phys-1350-6127"	"39120"	"ISP"	"80.249.210.28"	"2001:7f8:1::a503:9120:1"	"no"	"no"	"yes"	"Digital Realty AMS01"	""	"open"	"1GE"
"Conversant Ltd."	"network@conversantmedia.com"	"PXC-TC5-156"	"41041"	"ISP"	"80.249.212.188"	"2001:7f8:1::a504:1041:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Conversant Ltd."	"network@conversantmedia.com"	"PXC-TC5-159"	"41041"	"ISP"	"80.249.212.189"	"2001:7f8:1::a504:1041:2"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Coolwave Communications B.V."	"peering@carrier1.com"	"EDGE-NIK-011"	"8918"	"ISP"	"80.249.208.58"	""	"no"	"no"	"no"	"NIKHEF"	"SX"	"open"	"1GE"
"Criteo"	"peering@criteo.com"	"PXC-TC5-151"	"44788"	"ISP"	"80.249.209.151"	"2001:7f8:1::a504:4788:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"http://peering.criteo.net/"	"10GE"
"Curacao Cable TV N.V"	"peering@columbuscuracao.com"	"mym6-phys-1796"	"52233"	"ISP"	"80.249.210.252"	"2001:7f8:1::a505:2233:1"	"no"	"no"	"yes"	"Equinix AM1/2"	""	"case-by-case"	"1FE"
"Custodian LTD"	"peerings@CustodianDC.com"	"mym6-phys-3790"	"50300"	"ISP"	"80.249.211.14"	"2001:7f8:1::a505:300:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"Cyberlink AG"	"peering@cyberlink.ch"	"mynl-phys-3690"	"15623"	"ISP"	"80.249.213.89"	"2001:7f8:1::a501:5623:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"CYSO"	"benjamin@cyso.nl"	"PXC-GLO-149"	"25151"	"ISP"	"80.249.209.155"	"2001:7f8:1::a502:5151:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"CYTA (Cyprus Telecommunications Authority)"	""	"PXC-TEL-119"	"6866"	"ISP"	"80.249.211.198"	"2001:7f8:1::a500:6866:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"CYTA  Hellas Telecommunications S.A."	"michalis.bersimis@hq.cyta.gr"	"PXC-SAR-111"	"6866"	"ISP"	"80.249.212.116"	"2001:7f8:1::a500:6866:2"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-165"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-165"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-165"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-165"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-165"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-165"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Dailymotion"	"peering@dailymotion.com"	"PXC-EQX-132"	"41690"	"ISP"	"80.249.208.164"	"2001:7f8:1::a504:1690:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR4"	"open"	"100GE"
"Daisy Communications Ltd"	"alun.thomas@daisygroupplc.com"	"PXC-NIK-133"	"5413"	"ISP"	"80.249.208.95"	"2001:7f8:1::a500:5413:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"DANTE"	"peering@geant.org"	"PXC-SAR-148"	"21320"	"ISP"	"80.249.210.137"	"2001:7f8:1::a502:1320:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"DANTE"	"peering@geant.org"	"PXC-SAR-148"	"21320"	"ISP"	"80.249.210.137"	"2001:7f8:1::a502:1320:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"DANTE"	"peering@geant.org"	"PXC-SAR-148"	"21320"	"ISP"	"80.249.210.137"	"2001:7f8:1::a502:1320:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"DATALINE LLC"	"peering@dataline.ua"	"mym6-phys-4209-2962"	"35297"	"ISP"	"80.249.212.173"	"2001:7f8:1::a503:5297:2"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5GE"
"Dataone Datacenters"	"noc@rebacom.net"	"PXC-NIK-146"	"56611"	"ISP"	"80.249.212.253"	""	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Datapipe"	"bgp@datapipe.com"	"PXC-EQX-154"	"24778"	"ISP"	"80.249.212.90"	""	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"custom"	"10GE"
"Datatech UK Ltd"	"peering@datatechuk.com"	"mym6-phys-2368"	"47622"	"ISP"	"80.249.210.168"	"2001:7f8:1::a504:7622:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"Daticum JSC"	"admin@daticum.com"	"mym6-phys-3682-3333"	"47748"	"ISP"	"80.249.212.44"	"2001:7f8:1::a504:7748:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"DDoS-Guard.net"	"a.kuzik@ddos-guard.net"	"PXC-EQ3-145"	"57724"	"ISP"	"80.249.211.8"	"2001:7f8:1::a505:7724:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"DDoS-Guard.net"	"a.kuzik@ddos-guard.net"	"PXC-EQ3-145"	"57724"	"ISP"	"80.249.211.8"	"2001:7f8:1::a505:7724:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Delta Telecom Ltd"	"atesh@delta-telecom.net"	"PXC-EQX-165"	"29049"	"ISP"	"80.249.212.241"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
"Delta Telecom Ltd"	"atesh@delta-telecom.net"	"PXC-EQX-165"	"29049"	"ISP"	"80.249.212.241"	""	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"open"	"10GE"
